"","Cell_Type3","Cell_Type2","Cell_Type1","Cell_Type4"
"Cell996",0,0,0,1
"Cell997",0,1,0,0
"Cell998",1,0,0,0
"Cell999",0,1,0,0
"Cell1000",0,0,1,0
"Cell1001",0,0,0,1
"Cell1002",1,0,0,0
"Cell1003",0,1,0,0
"Cell1004",0,1,0,0
"Cell1005",0,0,1,0
"Cell1006",0,0,1,0
"Cell1007",0,1,0,0
"Cell1008",1,0,0,0
"Cell1009",0,0,1,0
"Cell1010",0,0,1,0
"Cell1011",0,0,0,1
"Cell1012",0,1,0,0
"Cell1013",0,0,0,1
"Cell1014",0,1,0,0
"Cell1015",0,1,0,0
"Cell1016",0,0,0,1
"Cell1017",1,0,0,0
"Cell1018",0,0,0,1
"Cell1019",0,0,1,0
"Cell1020",0,0,0,1
"Cell1021",1,0,0,0
"Cell1022",0,1,0,0
"Cell1023",0,0,0,1
"Cell1024",0,1,0,0
"Cell1025",1,0,0,0
"Cell1026",0,1,0,0
"Cell1027",0,1,0,0
"Cell1028",0,1,0,0
"Cell1029",0,0,0,1
"Cell1030",0,0,0,1
"Cell1031",1,0,0,0
"Cell1032",1,0,0,0
"Cell1033",1,0,0,0
"Cell1034",1,0,0,0
"Cell1035",0,0,1,0
"Cell1036",1,0,0,0
"Cell1037",0,1,0,0
"Cell1038",1,0,0,0
"Cell1039",0,1,0,0
"Cell1040",0,1,0,0
"Cell1041",1,0,0,0
"Cell1042",1,0,0,0
"Cell1043",0,1,0,0
"Cell1044",0,0,1,0
"Cell1045",0,0,1,0
"Cell1046",0,0,1,0
"Cell1047",0,0,1,0
"Cell1048",0,0,1,0
"Cell1049",0,0,0,1
"Cell1050",0,0,1,0
"Cell1051",0,0,0,1
"Cell1052",0,1,0,0
"Cell1053",0,0,1,0
"Cell1054",0,1,0,0
"Cell1055",0,1,0,0
"Cell1056",1,0,0,0
"Cell1057",1,0,0,0
"Cell1058",0,0,0,1
"Cell1059",0,1,0,0
"Cell1060",0,0,0,1
"Cell1061",0,1,0,0
"Cell1062",0,0,1,0
"Cell1063",0,1,0,0
"Cell1064",1,0,0,0
"Cell1065",0,0,0,1
"Cell1066",1,0,0,0
"Cell1067",0,1,0,0
"Cell1068",0,0,1,0
"Cell1069",0,1,0,0
"Cell1070",1,0,0,0
"Cell1071",0,1,0,0
"Cell1072",0,0,1,0
"Cell1073",0,0,1,0
"Cell1074",1,0,0,0
"Cell1075",1,0,0,0
"Cell1076",1,0,0,0
"Cell1077",1,0,0,0
"Cell1078",0,0,1,0
"Cell1079",0,0,0,1
"Cell1080",0,1,0,0
"Cell1081",0,0,1,0
"Cell1082",0,0,1,0
"Cell1083",0,0,0,1
"Cell1084",0,1,0,0
"Cell1085",0,0,0,1
"Cell1086",0,0,1,0
"Cell1087",0,1,0,0
"Cell1088",0,0,0,1
"Cell1089",0,0,0,1
"Cell1090",0,0,1,0
"Cell1091",1,0,0,0
"Cell1092",0,1,0,0
"Cell1093",0,0,0,1
"Cell1094",1,0,0,0
"Cell1095",0,1,0,0
"Cell1096",0,0,1,0
"Cell1097",1,0,0,0
"Cell1098",1,0,0,0
"Cell1099",0,0,0,1
"Cell1100",0,1,0,0
"Cell1101",0,0,0,1
"Cell1102",1,0,0,0
"Cell1103",0,0,1,0
"Cell1104",0,1,0,0
"Cell1105",0,0,1,0
"Cell1106",0,0,1,0
"Cell1107",0,0,1,0
"Cell1108",0,0,0,1
"Cell1109",0,1,0,0
"Cell1110",0,0,1,0
"Cell1111",0,1,0,0
"Cell1112",0,0,0,1
"Cell1113",0,0,1,0
"Cell1114",1,0,0,0
"Cell1115",0,0,0,1
"Cell1116",0,0,0,1
"Cell1117",0,1,0,0
"Cell1118",1,0,0,0
"Cell1119",0,0,1,0
"Cell1120",0,0,0,1
"Cell1121",1,0,0,0
"Cell1122",0,0,0,1
"Cell1123",0,0,1,0
"Cell1124",1,0,0,0
"Cell1125",0,0,0,1
"Cell1126",0,0,1,0
"Cell1127",0,1,0,0
"Cell1128",0,0,1,0
"Cell1129",0,1,0,0
"Cell1130",0,0,0,1
"Cell1131",0,0,0,1
"Cell1132",1,0,0,0
"Cell1133",0,0,1,0
"Cell1134",0,0,1,0
"Cell1135",0,1,0,0
"Cell1136",0,0,0,1
"Cell1137",0,1,0,0
"Cell1138",1,0,0,0
"Cell1139",0,1,0,0
"Cell1140",0,1,0,0
"Cell1141",0,1,0,0
"Cell1142",0,0,1,0
"Cell1143",0,1,0,0
"Cell1144",0,1,0,0
"Cell1145",0,1,0,0
"Cell1146",0,1,0,0
"Cell1147",0,0,0,1
"Cell1148",1,0,0,0
"Cell1149",0,1,0,0
"Cell1150",1,0,0,0
"Cell1151",0,0,1,0
"Cell1152",0,0,1,0
"Cell1153",1,0,0,0
"Cell1154",1,0,0,0
"Cell1155",0,1,0,0
"Cell1156",0,1,0,0
"Cell1157",0,0,1,0
"Cell1158",0,0,1,0
"Cell1159",1,0,0,0
"Cell1160",0,0,0,1
"Cell1161",0,1,0,0
"Cell1162",0,0,0,1
"Cell1163",0,0,1,0
"Cell1164",1,0,0,0
"Cell1165",0,0,1,0
"Cell1166",0,0,0,1
"Cell1167",0,0,0,1
"Cell1168",1,0,0,0
"Cell1169",0,0,1,0
"Cell1170",0,0,1,0
"Cell1171",0,0,1,0
"Cell1172",0,0,0,1
"Cell1173",0,1,0,0
"Cell1174",0,0,0,1
"Cell1175",1,0,0,0
"Cell1176",0,1,0,0
"Cell1177",0,1,0,0
"Cell1178",0,1,0,0
"Cell1179",1,0,0,0
"Cell1180",0,0,1,0
"Cell1181",0,1,0,0
"Cell1182",1,0,0,0
"Cell1183",0,1,0,0
"Cell1184",0,0,0,1
"Cell1185",1,0,0,0
"Cell1186",1,0,0,0
"Cell1187",1,0,0,0
"Cell1188",0,0,1,0
"Cell1189",0,0,1,0
"Cell1190",1,0,0,0
"Cell1191",0,0,0,1
"Cell1192",0,0,0,1
"Cell1193",0,0,0,1
"Cell1194",0,0,1,0
"Cell1195",0,0,1,0
"Cell1196",0,1,0,0
"Cell1197",0,1,0,0
"Cell1198",1,0,0,0
"Cell1199",0,0,0,1
"Cell1200",0,1,0,0
"Cell1201",0,0,1,0
"Cell1202",1,0,0,0
"Cell1203",1,0,0,0
"Cell1204",0,0,0,1
"Cell1205",0,0,1,0
"Cell1206",0,0,0,1
"Cell1207",0,1,0,0
"Cell1208",0,0,0,1
"Cell1209",0,0,0,1
"Cell1210",0,0,1,0
"Cell1211",0,0,0,1
"Cell1212",0,0,1,0
"Cell1213",0,1,0,0
"Cell1214",0,0,1,0
"Cell1215",0,0,1,0
"Cell1216",0,0,0,1
"Cell1217",0,1,0,0
"Cell1218",1,0,0,0
"Cell1219",0,0,1,0
"Cell1220",0,0,0,1
"Cell1221",0,0,0,1
"Cell1222",0,0,0,1
"Cell1223",0,0,0,1
"Cell1224",1,0,0,0
"Cell1225",0,0,0,1
"Cell1226",1,0,0,0
"Cell1227",1,0,0,0
"Cell1228",1,0,0,0
"Cell1229",1,0,0,0
"Cell1230",1,0,0,0
"Cell1231",1,0,0,0
"Cell1232",0,0,0,1
"Cell1233",0,1,0,0
"Cell1234",0,1,0,0
"Cell1235",0,1,0,0
"Cell1236",1,0,0,0
"Cell1237",0,0,0,1
"Cell1238",1,0,0,0
"Cell1239",0,0,1,0
"Cell1240",0,0,1,0
"Cell1241",0,0,0,1
"Cell1242",0,0,0,1
"Cell1243",1,0,0,0
"Cell1244",0,0,0,1
"Cell1245",0,0,1,0
"Cell1246",1,0,0,0
"Cell1247",0,0,1,0
"Cell1248",1,0,0,0
"Cell1249",0,0,1,0
"Cell1250",0,1,0,0
"Cell1251",0,0,1,0
"Cell1252",0,1,0,0
"Cell1253",0,1,0,0
"Cell1254",0,0,1,0
"Cell1255",0,1,0,0
"Cell1256",0,1,0,0
"Cell1257",0,0,1,0
"Cell1258",0,0,0,1
"Cell1259",0,0,1,0
"Cell1260",0,0,1,0
"Cell1261",1,0,0,0
"Cell1262",0,1,0,0
"Cell1263",0,1,0,0
"Cell1264",0,0,1,0
"Cell1265",0,1,0,0
"Cell1266",0,0,0,1
"Cell1267",0,0,0,1
"Cell1268",1,0,0,0
"Cell1269",1,0,0,0
"Cell1270",0,0,1,0
"Cell1271",0,1,0,0
"Cell1272",0,0,0,1
"Cell1273",0,0,0,1
"Cell1274",1,0,0,0
"Cell1275",0,1,0,0
"Cell1276",0,0,1,0
"Cell1277",0,0,1,0
"Cell1278",0,1,0,0
"Cell1279",0,0,1,0
"Cell1280",0,0,1,0
